pickup_year,pickup_month,pickup_day,pickup_dayofweek,pickup_time,pickup_location_code,dropoff_location_code,trip_distance,trip_length,fare_amount,fees_amount,tolls_amount,tip_amount,total_amount,payment_type
2016,1,2,6,5,3,6,3.67,628,13.00,1.30,0.00,2.86,17.16,1
2016,1,2,6,5,3,1,10.57,1109,30.50,1.30,0.00,6.36,38.16,1
2016,1,2,6,5,2,1,15.66,1853,45.00,1.30,0.00,0.00,46.30,2
2016,1,2,6,5,3,4,9.60,1437,30.00,1.30,5.54,7.37,44.21,1
2016,1,2,6,5,3,1,13.82,1132,37.00,1.30,0.00,11.49,49.79,1
2016,1,2,6,5,3,4,9.40,1265,29.00,1.30,5.54,0.00,35.84,2
2016,1,2,6,5,2,1,13.20,2163,40.00,1.30,0.00,0.00,41.30,2
2016,1,2,6,5,3,1,11.65,1328,34.00,1.30,0.00,8.82,44.12,1
2016,1,2,6,5,2,1,12.92,1993,39.00,1.30,0.00,8.00,48.30,1
2016,1,2,6,5,2,4,19.89,2456,52.00,0.80,0.00,8.00,60.80,1
2016,1,2,6,5,2,4,18.68,2104,52.00,0.80,5.54,10.00,68.34,1
2016,1,2,6,5,2,4,19.82,2386,52.00,0.80,5.54,11.67,70.01,1
2016,1,2,6,5,3,1,9.14,1295,27.50,1.30,0.00,7.20,36.00,1
2016,1,2,6,5,3,4,9.76,1306,28.50,1.30,0.00,8.94,38.74,1
2016,1,2,6,5,3,6,3.45,857,14.00,1.30,0.00,4.59,19.89,1
2016,1,2,6,5,3,6,1.37,372,6.50,1.30,0.00,0.00,7.80,2
2016,1,2,6,5,2,1,17.81,1709,47.50,1.30,0.00,0.00,48.80,1
2016,1,2,6,5,2,4,18.53,1908,52.00,0.80,5.54,11.67,70.01,1
2016,1,2,6,5,3,4,8.87,959,25.00,1.30,5.54,7.96,39.80,1
2016,1,2,6,5,2,6,10.68,1805,32.50,1.30,0.00,0.00,33.80,1
2016,1,2,6,5,3,4,10.70,1437,31.00,1.30,0.00,0.00,32.30,2
2016,1,2,6,5,2,6,7.50,1081,24.00,1.30,0.00,0.00,25.30,2
2016,1,2,6,5,2,1,12.66,1821,37.50,1.30,0.00,7.76,46.56,1
2016,1,2,6,5,3,4,11.75,1406,34.50,1.30,5.54,5.00,46.34,1
2016,1,2,6,5,3,4,6.00,931,19.50,1.30,0.00,4.15,24.95,1
2016,1,2,6,5,3,4,12.22,1405,35.00,1.30,0.00,7.00,43.30,1
2016,1,2,6,5,3,6,3.15,509,11.50,1.30,0.00,2.56,15.36,1
2016,1,2,6,5,2,4,17.04,1791,52.00,0.80,5.54,11.67,70.01,1
2016,1,2,6,5,3,4,8.70,1464,28.00,1.30,5.54,0.00,34.84,2
